No,Penalty Calculation Strategy,Penalty Selection Strategy,Penalty TieBreaker Strategy,Cell Selection Strategy,Cell TieBreaker Strategy,Akurasi (Normal)
380,Two Min,Two Max,Max Total Cost,MinCost,Min Cost Allocation,20
381,Two Min,Two Max,All Penalties,MinCA,Min Demand,20
382,Two Min,Two Max,Max Total Cost,MinCost,Min Allocation,20
383,Two Min,Two Max,Max Total Cost,MinCost,Max Allocation,20
384,Two Min,Two Max,Max Total Cost,MinCost,Min Supply and Demand,20
385,Two Max,Max Penalty,Max Total Cost,MinCA,Min Supply,20
386,Two Min,Two Max,Max Total Cost,MinCost,Max Supply and Demand,20
387,Two Min,Two Max,Max Total Cost,MinCost,Min Demand,20
388,Two Min,Two Max,All Penalties,MinCA,Min Supply Demand Mult,20
389,Two Max,Max Penalty,Max Total Cost,MinCA,Index,20
390,Min Max,Two Max,All Penalties,MinCost,Min Allocation,20
391,Two Max,Two Max,Max Total Cost,MinCost,Min Top-Bottom Sum,20
392,Min Max,Two Max,All Penalties,MinCost,Min Cost Allocation,20
393,Two Max,Two Max,Max Total Cost,MinCost,Max Supply and Demand,20
394,Min Max,Two Max,Max Total Cost,MinCost,Max Supply Demand Mult,20
395,Min Max,Two Max,Max Total Cost,MinCost,Min Cost Allocation,20
396,Min Max,Two Max,Max Total Cost,MinCost,Max Cost Allocation,20
397,Min Max,Two Max,Max Total Cost,MinCost,Min Allocation,20
398,Min Max,Two Max,Max Total Cost,MinCost,Max Allocation,20
399,Min Max,Two Max,All Penalties,MinCost,Min Supply Demand Mult,20
400,Two Max,Two Max,All Penalties,MinCA,Min Supply Demand Mult,20
401,Two Max,Two Max,All Penalties,MinCA,Min Demand,20
402,Two Max,Two Max,Max Total Cost,MinCost,Max Demand,20
403,Two Max,Two Max,All Penalties,MinCA,Max Demand,20
404,Two Max,Two Max,All Penalties,MinCost,Min Supply Demand Mult,20
405,Two Max,Two Max,All Penalties,MinCost,Min Cost Allocation,20
406,Two Max,Two Max,All Penalties,MinCost,Min Allocation,20
407,Two Min,Two Max,All Penalties,MinCost,Max Top-Bottom Sum,20
408,Two Min,Two Max,Min Total Cost,MinCost,Max Supply Demand Mult,15
409,Two Max,Two Max,All Penalties,MinCost,Index,15
410,Min Max,Two Max,All Penalties,MinCost,Min Supply and Demand,15
411,Min Max,Two Max,All Penalties,MinCost,Min Supply,15
412,Min Max,Two Max,All Penalties,MinCost,Min Demand,15
413,Two Min,Two Max,All Penalties,MinCost,Max Demand,15
414,Two Min,Min Penalty,Max Total Cost,MinCA,Min Supply Demand Mult,15
415,Two Min,Two Max,Min Total Cost,MinCost,Max Cost Allocation,15
416,Two Max,Two Max,Max Total Cost,MinCost,Min Supply Demand Mult,15
417,Two Min,Two Max,Max Total Cost,MinCost,Min Supply Demand Mult,15
418,Min Max,Two Max,All Penalties,MinCost,Index,15
419,Two Min,Min Penalty,All Penalties,MinCA,Max Demand,15
420,Two Min,Two Max,Max Total Cost,MinCost,Max Top-Bottom Sum,15
421,Two Min,Min Penalty,All Penalties,MinCA,Min Top-Bottom Sum,15
422,Two Min,Two Max,Max Total Cost,MinCost,Min Supply,15
423,Two Min,Min Penalty,All Penalties,MinCA,Max Allocation,15
424,Two Min,Two Max,Max Total Cost,MinCost,Max Supply,15
425,Two Min,Min Penalty,All Penalties,MinCA,Max Cost Allocation,15
426,Two Max,Two Max,Max Total Cost,MinCost,Min Cost Allocation,15
427,Two Max,Two Max,Max Total Cost,MinCost,Max Allocation,15
428,Two Max,Two Max,Max Total Cost,MinCost,Max Cost Allocation,15
429,Two Max,Two Max,All Penalties,MinCost,Min Supply,15
430,Two Min,Two Max,All Penalties,MinCost,Min Supply Demand Mult,15
431,Two Max,Two Max,All Penalties,MinCost,Min Demand,15
432,Two Max,Two Max,All Penalties,MinCost,Min Supply and Demand,15
433,Min Max,Two Max,Max Total Cost,MinCost,Min Supply,15
434,Min Max,Two Max,Max Total Cost,MinCost,Max Supply,15
435,Two Min,Two Max,All Penalties,MinCost,Min Cost Allocation,15
436,Min Max,Two Max,Max Total Cost,MinCost,Max Top-Bottom Sum,15
437,Two Max,Two Max,Max Total Cost,MinCost,Min Allocation,15
438,Min Max,Two Max,Max Total Cost,MinCost,Min Supply Demand Mult,15
439,Two Max,Two Max,Min Total Cost,MinCost,Max Supply Demand Mult,15
440,Two Max,Two Max,Max Total Cost,MinCost,Max Top-Bottom Sum,15
441,Two Min,Two Max,Min Total Cost,MinCost,Max Supply,15
442,Two Min,Two Max,Min Total Cost,MinCost,Max Allocation,15
443,Two Max,Two Max,Min Total Cost,MinCost,Max Supply,15
444,Two Min,Two Max,All Penalties,MinCost,Min Allocation,15
445,Two Max,Two Max,Max Total Cost,MinCost,Index,15
446,Two Max,Two Max,Max Total Cost,MinCost,Max Supply,15
447,Two Max,Two Max,Max Total Cost,MinCost,Min Supply,15
448,Two Max,Two Max,Max Total Cost,MinCost,Min Demand,15
449,Two Max,Two Max,Min Total Cost,MinCost,Max Allocation,15
450,Two Max,Two Max,Max Total Cost,MinCost,Min Supply and Demand,15
451,Two Max,Two Max,Min Total Cost,MinCost,Max Cost Allocation,15
452,Two Min,Min Penalty,Max Total Cost,MinCA,Max Allocation,10
453,Two Min,Min Penalty,Max Total Cost,MinCA,Min Top-Bottom Sum,10
454,Two Min,Min Penalty,Max Total Cost,MinCA,Min Cost Allocation,10
455,Two Min,Min Penalty,Max Total Cost,MinCA,Max Top-Bottom Sum,10
456,Two Min,Min Penalty,Max Total Cost,MinCA,Min Supply and Demand,10
457,Two Min,Min Penalty,Max Total Cost,MinCA,Max Supply and Demand,10
458,Two Min,Min Penalty,Max Total Cost,MinCA,Max Supply Demand Mult,10
459,Two Min,Min Penalty,Max Total Cost,MinCA,Min Allocation,10
460,Two Max,Min Penalty,Max Total Cost,MinCost,Min Supply Demand Mult,10
461,Two Min,Min Penalty,Max Total Cost,MinCA,Max Cost Allocation,10
462,Two Min,Two Max,Min Total Cost,MinCA,Max Supply,10
463,Two Min,Two Max,Min Total Cost,MinCost,Min Allocation,10
464,Two Min,Two Max,Min Total Cost,MinCost,Max Top-Bottom Sum,10
465,Two Min,Two Max,Min Total Cost,MinCost,Min Supply and Demand,10
466,Two Min,Two Max,Min Total Cost,MinCost,Min Demand,10
467,Two Min,Two Max,Min Total Cost,MinCost,Max Demand,10
468,Two Min,Two Max,Min Total Cost,MinCost,Min Cost Allocation,10
469,Two Min,Two Max,Min Total Cost,MinCost,Min Supply,10
470,Two Min,Two Max,Min Total Cost,MinCost,Min Supply Demand Mult,10
471,Two Min,Two Max,Min Total Cost,MinCA,Index,10
472,Two Min,Two Max,Min Total Cost,MinCost,Index,10
473,Two Min,Min Penalty,All Penalties,MinCA,Index,10
474,Min Max,Two Max,Min Total Cost,MinCA,Min Supply and Demand,10
475,Two Min,Min Penalty,Max Total Cost,MinCA,Min Demand,10
476,Min Max,Two Max,Min Total Cost,MinCA,Max Top-Bottom Sum,10
477,Min Max,Two Max,Min Total Cost,MinCA,Min Allocation,10
478,Min Max,Two Max,Min Total Cost,MinCA,Min Cost Allocation,10
479,Min Max,Two Max,Min Total Cost,MinCA,Min Supply Demand Mult,10
480,Two Min,Two Max,Min Total Cost,MinCA,Min Supply,10
481,Two Max,Min Penalty,All Penalties,MinCA,Index,10
482,Two Min,Two Max,Min Total Cost,MinCA,Min Demand,10
483,Two Min,Min Penalty,Max Total Cost,MinCost,Min Supply Demand Mult,10
484,Two Min,Min Penalty,Max Total Cost,MinCA,Index,10
485,Two Min,Min Penalty,Max Total Cost,MinCA,Max Supply,10
486,Two Min,Min Penalty,Max Total Cost,MinCA,Min Supply,10
487,Two Min,Min Penalty,Max Total Cost,MinCA,Max Demand,10
488,Two Min,Min Penalty,Min Total Cost,MinCA,Max Demand,10
489,Min Max,Two Max,Min Total Cost,MinCost,Max Top-Bottom Sum,10
490,Min Max,Two Max,Min Total Cost,MinCost,Min Supply and Demand,10
491,Min Max,Two Max,Min Total Cost,MinCost,Min Demand,10
492,Two Min,Two Max,All Penalties,MinCost,Min Supply,10
493,Two Min,Two Max,All Penalties,MinCost,Min Demand,10
494,Two Min,Two Max,All Penalties,MinCost,Max Supply and Demand,10
495,Two Min,Min Penalty,Min Total Cost,MinCost,Max Allocation,10
496,Two Min,Two Max,All Penalties,MinCost,Min Supply and Demand,10
497,Two Min,Min Penalty,Min Total Cost,MinCost,Max Cost Allocation,10
498,Two Min,Min Penalty,Min Total Cost,MinCost,Max Supply Demand Mult,10
499,Min Max,Two Max,Min Total Cost,MinCost,Max Allocation,10
500,Two Min,Min Penalty,Min Total Cost,MinCA,Max Supply and Demand,10
501,Two Min,Min Penalty,Min Total Cost,MinCA,Min Top-Bottom Sum,10
502,Two Min,Min Penalty,Min Total Cost,MinCA,Max Allocation,10
503,Min Max,Two Max,Min Total Cost,MinCost,Max Demand,10
504,Min Max,Two Max,Min Total Cost,MinCost,Min Supply,10
505,Min Max,Two Max,Min Total Cost,MinCost,Max Supply,10
506,Min Max,Two Max,Min Total Cost,MinCost,Index,10
507,Two Min,Two Max,Min Total Cost,MinCA,Min Supply Demand Mult,10
508,Two Min,Two Max,Min Total Cost,MinCA,Min Cost Allocation,10
509,Two Min,Two Max,Min Total Cost,MinCA,Min Allocation,10
510,Min Max,Two Max,Min Total Cost,MinCA,Max Supply and Demand,10
511,Two Min,Two Max,Min Total Cost,MinCA,Min Supply and Demand,10
512,Two Min,Two Max,Min Total Cost,MinCA,Max Top-Bottom Sum,10
513,Two Min,Min Penalty,All Penalties,MinCA,Min Supply,10
514,Two Min,Min Penalty,All Penalties,MinCA,Min Demand,10
515,Two Min,Min Penalty,All Penalties,MinCA,Max Supply and Demand,10
516,Two Min,Min Penalty,All Penalties,MinCA,Min Supply and Demand,10
517,Two Min,Min Penalty,All Penalties,MinCA,Min Allocation,10
518,Two Min,Min Penalty,All Penalties,MinCA,Min Cost Allocation,10
519,Two Min,Min Penalty,All Penalties,MinCA,Max Supply Demand Mult,10
520,Two Min,Min Penalty,All Penalties,MinCA,Min Supply Demand Mult,10
521,Two Min,Two Max,Min Total Cost,MinCA,Max Supply and Demand,10
522,Min Max,Two Max,Min Total Cost,MinCA,Min Demand,10
523,Min Max,Two Max,Min Total Cost,MinCA,Min Supply,10
524,Min Max,Two Max,Min Total Cost,MinCA,Max Supply,10
525,Min Max,Two Max,Min Total Cost,MinCA,Index,10
526,Min Max,Two Max,Min Total Cost,MinCost,Min Supply Demand Mult,10
527,Min Max,Two Max,Min Total Cost,MinCost,Max Supply Demand Mult,10
528,Min Max,Two Max,Min Total Cost,MinCost,Min Cost Allocation,10
529,Min Max,Two Max,Min Total Cost,MinCost,Max Cost Allocation,10
530,Min Max,Two Max,Min Total Cost,MinCost,Min Allocation,10
531,Two Max,Two Max,Min Total Cost,MinCost,Min Supply and Demand,10
532,Two Max,Two Max,Min Total Cost,MinCA,Index,10
533,Two Max,Two Max,Min Total Cost,MinCost,Min Supply Demand Mult,10
534,Two Max,Two Max,Min Total Cost,MinCost,Min Cost Allocation,10
535,Two Max,Two Max,Min Total Cost,MinCost,Min Allocation,10
536,Two Max,Min Penalty,Max Total Cost,MinCA,Min Supply Demand Mult,10
537,Two Min,Two Max,All Penalties,MinCost,Index,10
538,Min Max,Min Penalty,All Penalties,MinCA,Max Supply,10
539,Min Max,Min Penalty,All Penalties,MinCA,Max Cost Allocation,10
540,Two Max,Two Max,Min Total Cost,MinCost,Max Top-Bottom Sum,10
541,Two Max,Min Penalty,All Penalties,MinCA,Min Supply Demand Mult,10
542,Min Max,Min Penalty,All Penalties,MinCA,Max Supply Demand Mult,10
543,Two Max,Two Max,Min Total Cost,MinCA,Max Supply,10
544,Two Max,Min Penalty,All Penalties,MinCA,Min Cost Allocation,10
545,Two Max,Min Penalty,All Penalties,MinCA,Max Cost Allocation,10
546,Two Max,Two Max,Min Total Cost,MinCost,Min Demand,10
547,Two Max,Two Max,Min Total Cost,MinCost,Max Demand,10
548,Two Max,Two Max,Min Total Cost,MinCost,Min Supply,10
549,Two Max,Min Penalty,All Penalties,MinCA,Min Allocation,10
550,Two Max,Two Max,Min Total Cost,MinCost,Index,10
551,Two Max,Min Penalty,All Penalties,MinCA,Max Allocation,10
552,Two Max,Min Penalty,All Penalties,MinCA,Min Top-Bottom Sum,10
553,Min Max,Min Penalty,All Penalties,MinCA,Min Supply Demand Mult,10
554,Two Max,Min Penalty,All Penalties,MinCA,Min Supply and Demand,10
555,Two Max,Min Penalty,All Penalties,MinCA,Min Demand,10
556,Two Max,Min Penalty,All Penalties,MinCA,Max Demand,10
557,Two Min,Min Penalty,Min Total Cost,MinCA,Max Cost Allocation,10
558,Two Max,Min Penalty,All Penalties,MinCA,Min Supply,10
559,Two Max,Two Max,All Penalties,MinCost,Min Top-Bottom Sum,10
560,Two Max,Two Max,All Penalties,MinCost,Max Supply and Demand,10
561,Two Max,Two Max,All Penalties,MinCost,Max Demand,10
562,Two Max,Two Max,Min Total Cost,MinCA,Min Supply Demand Mult,10
563,Min Max,Min Penalty,All Penalties,MinCA,Min Top-Bottom Sum,10
564,Two Max,Two Max,Min Total Cost,MinCA,Min Cost Allocation,10
565,Min Max,Two Max,All Penalties,MinCost,Max Demand,10
566,Two Max,Two Max,Min Total Cost,MinCA,Min Allocation,10
567,Min Max,Min Penalty,All Penalties,MinCA,Max Allocation,10
568,Min Max,Two Max,All Penalties,MinCost,Max Supply and Demand,10
569,Two Max,Two Max,Min Total Cost,MinCA,Max Top-Bottom Sum,10
570,Two Max,Two Max,Min Total Cost,MinCA,Min Supply and Demand,10
571,Two Min,Min Penalty,Min Total Cost,MinCA,Max Supply Demand Mult,10
572,Two Max,Two Max,Min Total Cost,MinCA,Max Supply and Demand,10
573,Min Max,Min Penalty,All Penalties,MinCA,Min Supply,10
574,Two Max,Two Max,Min Total Cost,MinCA,Min Demand,10
575,Min Max,Two Max,All Penalties,MinCost,Min Top-Bottom Sum,10
576,Two Max,Two Max,Min Total Cost,MinCA,Min Supply,10
577,Min Max,Min Penalty,All Penalties,MinCA,Max Top-Bottom Sum,5
578,Two Max,Min Penalty,Min Total Cost,MaxSC,Max Allocation,5
579,Two Max,Min Penalty,Min Total Cost,MaxSC,Min Top-Bottom Sum,5
580,Two Max,Min Penalty,Min Total Cost,MaxSC,Max Top-Bottom Sum,5
581,Min Max,Min Penalty,All Penalties,MinCA,Min Cost Allocation,5
582,Min Max,Min Penalty,All Penalties,MinCA,Min Allocation,5
583,Two Max,Min Penalty,Min Total Cost,MaxSC,Max Cost Allocation,5
584,Two Max,Min Penalty,Min Total Cost,MaxSC,Min Supply and Demand,5
585,Two Max,Min Penalty,Min Total Cost,MaxSC,Max Supply and Demand,5
586,Two Max,Min Penalty,Min Total Cost,MaxSC,Min Demand,5
587,Two Max,Min Penalty,Min Total Cost,MaxSC,Max Demand,5
588,Two Max,Min Penalty,Min Total Cost,MaxSC,Min Supply,5
589,Two Max,Min Penalty,Min Total Cost,MaxSC,Max Supply,5
590,Two Max,Min Penalty,Min Total Cost,MaxSC,Index,5
591,Min Max,Two Max,Min Total Cost,MinCA,Max Demand,5
592,Two Max,Min Penalty,Max Total Cost,MinCA,Max Supply Demand Mult,5
593,Two Max,Min Penalty,Max Total Cost,MinCA,Min Cost Allocation,5
594,Two Max,Min Penalty,Max Total Cost,MinCA,Max Cost Allocation,5
595,Two Max,Min Penalty,Max Total Cost,MinCA,Min Allocation,5
596,Two Min,Min Penalty,All Penalties,MinCA,Max Top-Bottom Sum,5
597,Two Max,Min Penalty,Max Total Cost,MinCA,Max Allocation,5
598,Two Max,Min Penalty,Min Total Cost,MinCA,Min Supply Demand Mult,5
599,Two Max,Min Penalty,Min Total Cost,MinCA,Max Supply Demand Mult,5
600,Two Min,Two Max,Min Total Cost,MinCA,Max Supply Demand Mult,5
601,Two Max,Two Max,Min Total Cost,MinCost,Max Supply and Demand,5
602,Two Min,Min Penalty,Min Total Cost,MinCA,Index,5
603,Two Min,Min Penalty,Min Total Cost,MinCA,Max Supply,5
604,Two Min,Min Penalty,Min Total Cost,MinCA,Min Supply,5
605,Two Min,Min Penalty,Min Total Cost,MinCA,Min Demand,5
606,Two Max,Two Max,Min Total Cost,MinCost,Min Top-Bottom Sum,5
607,Two Min,Min Penalty,Min Total Cost,MinCA,Min Supply and Demand,5
608,Two Min,Min Penalty,Min Total Cost,MinCA,Max Top-Bottom Sum,5
609,Two Max,Two Max,Min Total Cost,MinCA,Max Demand,5
610,Min Max,Min Penalty,All Penalties,MinCost,Max Supply,5
611,Two Min,Two Max,Min Total Cost,MinCA,Max Cost Allocation,5
612,Two Max,Two Max,Min Total Cost,MinCA,Min Top-Bottom Sum,5
613,Two Max,Two Max,Min Total Cost,MinCA,Max Allocation,5
614,Two Max,Two Max,Min Total Cost,MinCA,Max Cost Allocation,5
615,Two Max,Two Max,Min Total Cost,MinCA,Max Supply Demand Mult,5
616,Two Min,Min Penalty,Min Total Cost,MinCA,Min Allocation,5
617,Two Min,Min Penalty,Min Total Cost,MinCA,Min Cost Allocation,5
618,Two Min,Two Max,All Penalties,MinCost,Min Top-Bottom Sum,5
619,Two Max,Min Penalty,Min Total Cost,MinCost,Min Demand,5
620,Two Min,Min Penalty,Min Total Cost,MinCA,Min Supply Demand Mult,5
621,Min Max,Min Penalty,All Penalties,MinCA,Max Supply and Demand,5
622,Min Max,Min Penalty,All Penalties,MinCA,Min Demand,5
623,Min Max,Min Penalty,All Penalties,MinCA,Max Demand,5
624,Min Max,Two Max,Min Total Cost,MinCost,Min Top-Bottom Sum,5
625,Min Max,Two Max,Min Total Cost,MinCost,Max Supply and Demand,5
626,Min Max,Min Penalty,All Penalties,MinCA,Index,5
627,Two Min,Two Max,Min Total Cost,MinCA,Max Allocation,5
628,Two Max,Min Penalty,Min Total Cost,MaxSC,Min Allocation,5
629,Min Max,Min Penalty,All Penalties,MinCost,Max Supply Demand Mult,5
630,Min Max,Min Penalty,All Penalties,MinCA,Min Supply and Demand,5
631,Min Max,Min Penalty,All Penalties,MinCost,Max Cost Allocation,5
632,Two Max,Min Penalty,Min Total Cost,MaxSC,Min Cost Allocation,5
633,Two Min,Min Penalty,Min Total Cost,MinCost,Max Supply,5
634,Min Max,Min Penalty,All Penalties,MinCost,Max Allocation,5
635,Two Min,Min Penalty,Min Total Cost,MinCost,Max Demand,5
636,Two Max,Min Penalty,Min Total Cost,MaxSC,Max Supply Demand Mult,5
637,Two Min,Min Penalty,Min Total Cost,MinCost,Max Supply and Demand,5
638,Two Max,Min Penalty,Min Total Cost,MaxSC,Min Supply Demand Mult,5
639,Two Min,Min Penalty,Min Total Cost,MinCost,Min Top-Bottom Sum,5
640,Two Min,Min Penalty,All Penalties,MinCost,Max Allocation,5
641,Two Max,Min Penalty,Min Total Cost,MinCost,Min Supply and Demand,5
642,Min Max,Two Max,Min Total Cost,MinCA,Max Supply Demand Mult,5
643,Two Max,Min Penalty,Max Total Cost,MinCA,Max Supply,5
644,Two Min,Min Penalty,All Penalties,MinCost,Max Demand,5
645,Min Max,Two Max,Min Total Cost,MinCA,Max Cost Allocation,5
646,Min Max,Min Penalty,Max Total Cost,MinCost,Min Top-Bottom Sum,5
647,Two Min,Min Penalty,All Penalties,MinCost,Max Supply and Demand,5
648,Two Max,Min Penalty,Min Total Cost,MinCost,Min Top-Bottom Sum,5
649,Min Max,Min Penalty,Min Total Cost,MinCost,Max Supply,5
650,Min Max,Two Max,Min Total Cost,MinCA,Max Allocation,5
651,Two Min,Min Penalty,All Penalties,MinCost,Min Top-Bottom Sum,5
652,Min Max,Min Penalty,Max Total Cost,MinCost,Min Supply Demand Mult,5
653,Min Max,Min Penalty,Max Total Cost,MinCost,Min Supply,5
654,Min Max,Two Max,Min Total Cost,MinCA,Min Top-Bottom Sum,5
655,Two Min,Min Penalty,All Penalties,MinCost,Max Cost Allocation,5
656,Two Max,Min Penalty,Min Total Cost,MinCost,Max Allocation,5
657,Two Min,Min Penalty,All Penalties,MinCost,Max Supply Demand Mult,5
658,Two Max,Min Penalty,Min Total Cost,MinCost,Min Allocation,5
659,Two Max,Min Penalty,Min Total Cost,MinCost,Max Cost Allocation,5
660,Two Min,Min Penalty,All Penalties,MinCA,Max Supply,5
661,Two Max,Min Penalty,Min Total Cost,MinCost,Min Cost Allocation,5
662,Two Max,Min Penalty,Max Total Cost,MinCA,Min Supply,5
663,Min Max,Min Penalty,Max Total Cost,MinCA,Min Supply Demand Mult,5
664,Two Max,Min Penalty,Max Total Cost,MinCA,Index,5
665,Two Max,Min Penalty,Min Total Cost,MinCost,Min Supply,5
666,Two Max,Min Penalty,Min Total Cost,MinCost,Max Supply,5
667,Two Max,Min Penalty,Min Total Cost,MinCost,Index,5
668,Two Max,Min Penalty,Max Total Cost,MinCost,Max Supply Demand Mult,5
669,Two Max,Min Penalty,Max Total Cost,MinCost,Min Cost Allocation,5
670,Two Max,Min Penalty,Max Total Cost,MinCost,Max Cost Allocation,5
671,Two Max,Min Penalty,Max Total Cost,MinCost,Min Allocation,5
672,Two Max,Min Penalty,Max Total Cost,MinCost,Max Allocation,5
673,Two Max,Min Penalty,All Penalties,MinCA,Max Supply,5
674,Two Max,Min Penalty,Max Total Cost,MinCost,Min Top-Bottom Sum,5
675,Two Max,Min Penalty,Min Total Cost,MinCA,Max Cost Allocation,5
676,Two Max,Min Penalty,Max Total Cost,MinCost,Max Top-Bottom Sum,5
677,Two Max,Min Penalty,Max Total Cost,MinCost,Min Supply and Demand,5
678,Two Max,Min Penalty,Max Total Cost,MinCost,Max Supply and Demand,5
679,Two Max,Min Penalty,Max Total Cost,MinCost,Min Demand,5
680,Two Max,Min Penalty,Max Total Cost,MinCost,Max Demand,5
681,Min Max,Min Penalty,Max Total Cost,MinCA,Min Top-Bottom Sum,5
682,Two Max,Min Penalty,Max Total Cost,MinCost,Min Supply,5
683,Two Max,Min Penalty,Max Total Cost,MinCost,Max Supply,5
684,Two Max,Min Penalty,Max Total Cost,MinCost,Index,5
685,Min Max,Min Penalty,Max Total Cost,MinCA,Min Supply,5
686,Two Max,Min Penalty,Max Total Cost,MinCA,Min Demand,5
687,Two Min,Min Penalty,Max Total Cost,MinCost,Max Top-Bottom Sum,5
688,Two Min,Min Penalty,Max Total Cost,MinCost,Min Top-Bottom Sum,5
689,Two Min,Min Penalty,Max Total Cost,MinCost,Max Allocation,5
690,Two Min,Min Penalty,Max Total Cost,MinCost,Min Allocation,5
691,Two Min,Min Penalty,Max Total Cost,MinCost,Max Cost Allocation,5
692,Two Min,Min Penalty,Max Total Cost,MinCost,Min Cost Allocation,5
693,Two Min,Min Penalty,Max Total Cost,MinCost,Max Supply Demand Mult,5
694,Two Max,Min Penalty,All Penalties,MinCA,Max Top-Bottom Sum,5
695,Two Max,Min Penalty,All Penalties,MinCA,Max Supply Demand Mult,5
696,Two Max,Min Penalty,Max Total Cost,MinCA,Max Demand,5
697,Two Max,Min Penalty,Min Total Cost,MinCA,Index,5
698,Two Max,Min Penalty,Max Total Cost,MinCA,Max Supply and Demand,5
699,Two Max,Min Penalty,Max Total Cost,MinCA,Min Supply and Demand,5
700,Two Max,Min Penalty,Max Total Cost,MinCA,Max Top-Bottom Sum,5
701,Two Max,Min Penalty,Max Total Cost,MinCA,Min Top-Bottom Sum,5
702,Min Max,Min Penalty,Min Total Cost,MinCost,Max Allocation,5
703,Min Max,Min Penalty,Min Total Cost,MinCost,Max Cost Allocation,5
704,Min Max,Min Penalty,Min Total Cost,MinCost,Max Supply Demand Mult,5
705,Two Max,Min Penalty,Min Total Cost,MinCA,Min Allocation,5
706,Two Min,Two Max,Min Total Cost,MinCA,Min Top-Bottom Sum,5
707,Two Max,Min Penalty,Min Total Cost,MinCA,Min Cost Allocation,5
708,Two Max,Min Penalty,Min Total Cost,MinCA,Max Top-Bottom Sum,5
709,Two Max,Min Penalty,Min Total Cost,MinCost,Min Supply Demand Mult,5
710,Two Max,Min Penalty,Min Total Cost,MinCA,Max Supply,5
711,Two Min,Two Max,Min Total Cost,MinCost,Max Supply and Demand,5
712,Two Max,Min Penalty,Min Total Cost,MinCA,Min Supply,5
713,Two Max,Min Penalty,Min Total Cost,MinCA,Max Demand,5
714,Two Min,Two Max,Min Total Cost,MinCost,Min Top-Bottom Sum,5
715,Two Max,Min Penalty,Min Total Cost,MinCA,Min Demand,5
716,Two Max,Min Penalty,Min Total Cost,MinCA,Max Supply and Demand,5
717,Two Max,Min Penalty,Min Total Cost,MinCA,Min Supply and Demand,5
718,Two Min,Min Penalty,Max Total Cost,MinCost,Min Supply and Demand,5
719,Two Max,Min Penalty,Min Total Cost,MinCA,Min Top-Bottom Sum,5
720,Two Max,Min Penalty,Min Total Cost,MinCA,Max Allocation,5
721,Two Max,Min Penalty,All Penalties,MinCA,Max Supply and Demand,5
722,Two Min,Min Penalty,Max Total Cost,MinCost,Max Supply and Demand,5
723,Two Min,Min Penalty,Max Total Cost,MinCost,Min Demand,5
724,Two Min,Min Penalty,Max Total Cost,MinCost,Max Demand,5
725,Two Min,Min Penalty,Max Total Cost,MinCost,Min Supply,5
726,Two Min,Min Penalty,Max Total Cost,MinCost,Max Supply,5
727,Two Min,Min Penalty,Max Total Cost,MinCost,Index,5
728,Two Min,Two Max,Min Total Cost,MinCA,Max Demand,5
729,Min Max,Min Penalty,Min Total Cost,MaxSC,Min Supply and Demand,0
730,Two Min,Max Penalty,Min Total Cost,MinSC,Max Cost Allocation,0
731,Min Max,Min Penalty,Min Total Cost,MaxSC,Max Top-Bottom Sum,0
732,Min Max,Min Penalty,Min Total Cost,MaxSC,Min Top-Bottom Sum,0
733,Min Max,Min Penalty,Min Total Cost,MaxSC,Max Allocation,0
734,Min Max,Min Penalty,Min Total Cost,MaxSC,Min Allocation,0
735,Min Max,Min Penalty,Min Total Cost,MaxSC,Max Cost Allocation,0
736,Min Max,Min Penalty,Min Total Cost,MaxSC,Min Cost Allocation,0
737,Min Max,Min Penalty,Min Total Cost,MaxSC,Max Supply Demand Mult,0
738,Min Max,Two Max,Max Total Cost,MaxSC,Max Supply and Demand,0
739,Min Max,Two Max,Max Total Cost,MinSC,Min Top-Bottom Sum,0
740,Min Max,Two Max,Max Total Cost,MinSC,Max Allocation,0
741,Min Max,Two Max,Max Total Cost,MinSC,Min Allocation,0
742,Min Max,Two Max,Max Total Cost,MinSC,Max Cost Allocation,0
743,Min Max,Two Max,Max Total Cost,MinSC,Min Cost Allocation,0
744,Min Max,Two Max,Max Total Cost,MinSC,Max Supply Demand Mult,0
745,Min Max,Two Max,Max Total Cost,MinSC,Min Supply Demand Mult,0
746,Min Max,Two Max,Max Total Cost,MaxSC,Index,0
747,Min Max,Two Max,Max Total Cost,MaxSC,Max Supply,0
748,Min Max,Two Max,Max Total Cost,MaxSC,Min Supply,0
749,Min Max,Two Max,Max Total Cost,MaxSC,Max Demand,0
750,Min Max,Two Max,Max Total Cost,MaxSC,Min Demand,0
751,Min Max,Two Max,Max Total Cost,MinSC,Max Top-Bottom Sum,0
752,Min Max,Two Max,Max Total Cost,MaxSC,Min Supply and Demand,0
753,Min Max,Two Max,Max Total Cost,MaxSC,Max Top-Bottom Sum,0
754,Min Max,Two Max,Max Total Cost,MaxSC,Min Top-Bottom Sum,0
755,Min Max,Two Max,Max Total Cost,MaxSC,Max Allocation,0
756,Min Max,Two Max,Max Total Cost,MaxSC,Min Allocation,0
757,Min Max,Two Max,Max Total Cost,MaxSC,Max Cost Allocation,0
758,Min Max,Two Max,Max Total Cost,MaxSC,Min Cost Allocation,0
759,Min Max,Two Max,Max Total Cost,MaxSC,Max Supply Demand Mult,0
760,Min Max,Two Max,Max Total Cost,MaxSC,Min Supply Demand Mult,0
